label,lidar1deg1,lidar1deg2,lidar1deg3,lidar1deg4,lidar1deg5,lidar1deg6,lidar1deg7,lidar1deg8,lidar1deg9,lidar1deg10,lidar1deg11,lidar1deg12,lidar1deg13,lidar1deg14,lidar1deg15,lidar1deg16,lidar1deg17,lidar1deg18,lidar1deg19,lidar1deg20,lidar1deg21,lidar1deg22,lidar1deg23,lidar1deg24,lidar1deg25,lidar1deg26,lidar1deg27,lidar1deg28,lidar1deg29,lidar1deg30,lidar1deg31,lidar1deg32,lidar1deg33,lidar1deg34,lidar1deg35,lidar1deg36,lidar1deg37,lidar1deg38,lidar1deg39,lidar1deg40,lidar1deg41,lidar1deg42,lidar1deg43,lidar1deg44,lidar1deg45,lidar1deg46,lidar1deg47,lidar1deg48,lidar1deg49,lidar1deg50,lidar1deg51,lidar1deg52,lidar1deg53,lidar1deg54,lidar1deg55,lidar1deg56,lidar1deg57,lidar1deg58,lidar1deg59,lidar1deg60,lidar1deg61,lidar1deg62,lidar1deg63,lidar1deg64,lidar1deg65,lidar1deg66,lidar1deg67,lidar1deg68,lidar1deg69,lidar1deg70,lidar1deg71,lidar1deg72,lidar1deg73,lidar1deg74,lidar1deg75,lidar1deg76,lidar1deg77,lidar1deg78,lidar1deg79,lidar1deg80,lidar1deg81,lidar1deg82,lidar1deg83,lidar1deg84,lidar1deg85,lidar1deg86,lidar1deg87,lidar1deg88,lidar1deg89,lidar1deg90,lidar2deg1,lidar2deg2,lidar2deg3,lidar2deg4,lidar2deg5,lidar2deg6,lidar2deg7,lidar2deg8,lidar2deg9,lidar2deg10,lidar2deg11,lidar2deg12,lidar2deg13,lidar2deg14,lidar2deg15,lidar2deg16,lidar2deg17,lidar2deg18,lidar2deg19,lidar2deg20,lidar2deg21,lidar2deg22,lidar2deg23,lidar2deg24,lidar2deg25,lidar2deg26,lidar2deg27,lidar2deg28,lidar2deg29,lidar2deg30,lidar2deg31,lidar2deg32,lidar2deg33,lidar2deg34,lidar2deg35,lidar2deg36,lidar2deg37,lidar2deg38,lidar2deg39,lidar2deg40,lidar2deg41,lidar2deg42,lidar2deg43,lidar2deg44,lidar2deg45,lidar2deg46,lidar2deg47,lidar2deg48,lidar2deg49,lidar2deg50,lidar2deg51,lidar2deg52,lidar2deg53,lidar2deg54,lidar2deg55,lidar2deg56,lidar2deg57,lidar2deg58,lidar2deg59,lidar2deg60,lidar2deg61,lidar2deg62,lidar2deg63,lidar2deg64,lidar2deg65,lidar2deg66,lidar2deg67,lidar2deg68,lidar2deg69,lidar2deg70,lidar2deg71,lidar2deg72,lidar2deg73,lidar2deg74,lidar2deg75,lidar2deg76,lidar2deg77,lidar2deg78,lidar2deg79,lidar2deg80,lidar2deg81,lidar2deg82,lidar2deg83,lidar2deg84,lidar2deg85,lidar2deg86,lidar2deg87,lidar2deg88,lidar2deg89,lidar2deg90,lidar3deg1,lidar3deg2,lidar3deg3,lidar3deg4,lidar3deg5,lidar3deg6,lidar3deg7,lidar3deg8,lidar3deg9,lidar3deg10,lidar3deg11,lidar3deg12,lidar3deg13,lidar3deg14,lidar3deg15,lidar3deg16,lidar3deg17,lidar3deg18,lidar3deg19,lidar3deg20,lidar3deg21,lidar3deg22,lidar3deg23,lidar3deg24,lidar3deg25,lidar3deg26,lidar3deg27,lidar3deg28,lidar3deg29,lidar3deg30,lidar3deg31,lidar3deg32,lidar3deg33,lidar3deg34,lidar3deg35,lidar3deg36,lidar3deg37,lidar3deg38,lidar3deg39,lidar3deg40,lidar3deg41,lidar3deg42,lidar3deg43,lidar3deg44,lidar3deg45,lidar3deg46,lidar3deg47,lidar3deg48,lidar3deg49,lidar3deg50,lidar3deg51,lidar3deg52,lidar3deg53,lidar3deg54,lidar3deg55,lidar3deg56,lidar3deg57,lidar3deg58,lidar3deg59,lidar3deg60,lidar3deg61,lidar3deg62,lidar3deg63,lidar3deg64,lidar3deg65,lidar3deg66,lidar3deg67,lidar3deg68,lidar3deg69,lidar3deg70,lidar3deg71,lidar3deg72,lidar3deg73,lidar3deg74,lidar3deg75,lidar3deg76,lidar3deg77,lidar3deg78,lidar3deg79,lidar3deg80,lidar3deg81,lidar3deg82,lidar3deg83,lidar3deg84,lidar3deg85,lidar3deg86,lidar3deg87,lidar3deg88,lidar3deg89,lidar3deg90
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,53.2,50.6,44.6,0.0,185.5,163.0,138.0,108.5,0.0,65.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.5999999999999,0.0,823.0,752.0,694.0,664.0,650.0,636.0,615.0,697.0,689.0,760.0,765.0,761.0,757.0,646.0,680.0,699.0,725.0,739.0,848.0,0.0,816.05,798.9499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.299999999999997,86.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.400000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,520.0,0.0,485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.0,238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.3,262.5,264.59999999999997,267.4,272.29999999999995,254.1,244.99999999999997,235.89999999999998,228.89999999999998,313.0,254.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,0.0,51.300000000000004,43.1,0.0,0.0,175.0,141.5,103.5,0.0,88.19999999999999,26.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.39999999999998,183.35,0.0,163.4,0.0,0.0,0.0,0.0,160.0,171.0,163.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.800000000000004,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1,53.5,46.7,46.7,0.0,187.0,154.0,153.5,117.5,0.0,47.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0,679.0,680.0,661.0,636.0,632.0,597.0,558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.0,644.0,0.0,0.0,669.75,678.3,670.6999999999999,0.0,648.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.200000000000003,0.0,0.0,0.0,0.0,606.4,592.0,576.8000000000001,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,649.0,660.0,669.0,653.0,610.0,620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,724.0,738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,351.5,361.5,355.5,356.5,357.5,358.0,501.9,506.09999999999997,517.3,498.4,494.2,486.49999999999994,459.2,464.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.800000000000004,0.0,51.900000000000006,43.900000000000006,0.0,178.5,178.0,145.5,109.0,0.0,0.0,35.0,0.0,0.0,0.0,572.85,550.05,0.0,500.65,429.4,0.0,0.0,0.0,0.0,0.0,650.0,660.0,604.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,681.6,0.0,672.8000000000001,658.4000000000001,624.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404.5,409.5,0.0,415.5,420.5,0.0,601.3,609.6999999999999,0.0,626.5,620.1999999999999,610.4,610.4,599.9,585.9,0.0,780.0,832.0,0.0,829.0,798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.1,54.800000000000004,48.6,42.5,0.0,186.5,162.5,136.0,108.5,0.0,64.39999999999999,18.2,0.0,0.0,0.0,0.0,749.55,724.85,0.0,0.0,0.0,0.0,0.0,674.5,0.0,700.0,678.0,638.0,609.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,697.0,702.0,703.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,77.69999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,779.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,562.4,0.0,544.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.8000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,498.4,512.4,518.6999999999999,517.3,521.5,525.0,0.0,522.9,521.5,0.0,374.5,370.0,358.5,349.5,338.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.2,54.800000000000004,48.5,43.300000000000004,0.0,194.0,162.0,126.5,0.0,0.0,60.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.4499999999999,612.75,576.65,0.0,552.9,0.0,0.0,0.0,0.0,475.99999999999994,0.0,481.59999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.0,648.0,618.0,644.0,0.0,556.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,557.0,0.0,575.0,604.0,0.0,628.0,641.0,0.0,454.99999999999994,461.99999999999994,470.4,0.0,462.7,441.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,53.5,46.800000000000004,0.0,0.0,187.0,154.5,0.0,118.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,480.0,446.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.699999999999996,54.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.89999999999998,0.0,478.0,509.0,498.0,0.0,477.0,445.0,441.0,460.0,477.0,493.0,503.0,501.0,498.0,0.0,488.0,486.0,479.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.7,49.5,43.1,0.0,194.5,167.0,132.0,98.0,0.0,70.69999999999999,8.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.0,226.0,266.0,253.0,250.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.4,0.0,250.6,197.39999999999998,28.7,77.69999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.89999999999998,0.0,235.2,245.7,0.0,367.0,367.0,0.0,317.0,325.0,356.0,0.0,392.0,402.0,0.0,391.0,385.0,0.0,386.0,382.0,351.0,358.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.900000000000006,0.0,52.0,44.1,0.0,0.0,178.0,146.0,108.5,0.0,0.0,33.599999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,87.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.64999999999998,160.54999999999998,0.0,145.35,0.0,0.0,0.0,5.6,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.400000000000002,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,170.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.8,187.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,215.0,223.0,158.2,156.79999999999998,161.0,164.5,153.29999999999998,156.1,127.39999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,52.1,0.0,44.300000000000004,0.0,179.5,0.0,146.0,109.5,0.0,0.0,35.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.0,0.95,0.0,0.0,0.0,0.0,86.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
